City,10%,25%,50%,75%,90%
Redmond-WA,1572,3256,4025,4569,4569
Chandler-AZ,2631,3157,3525,3735,4419
San-Antonio-TX,2573,2798,3471,3920,4369
Tucson-AZ,2675,3047,3415,3678,4152
Detroit-MI,2578,3033,3387,3741,4146
Kansas-City-KS,2648,3014,3380,3641,3903
Las-Vegas-NV,1695,2586,3372,3877,4326
Seattle-WA,1799,2529,3371,4140,4684
Dayton-OH,2696,2953,3313,3672,4237
Birmingham-AL,1706,2247,3254,3671,4036
Melbourne-FL,2608,2889,3226,3562,3955
Hillsboro-OR,2216,2654,3196,3600,4348
Pittsburgh-PA,2508,2825,3194,3721,4354
Jacksonville-FL,1957,2655,3160,3441,3890
St.-Louis-MO,2291,2844,3145,3497,3849
Cedar-Rapids-IA,2306,2772,3133,3389,3800
Louisville-KY,2137,2533,3126,3620,4431
Richmond-VA,2452,2811,3119,3581,3838
Fort-Worth-TX,2608,2832,3113,3337,3562
Huntsville-AL,2422,2793,3111,3429,3800
Boise-ID,1942,2441,3091,3541,4090
Kansas-City-MO,2623,2875,3076,3277,3478
Durham-NC,2457,2765,3073,3535,3946
Austin-TX,2096,2545,3051,3556,4117
Nashua-NH,1759,2657,3050,4004,4340
Dallas-TX,2204,2653,3046,3551,4168
Charlotte-NC,2266,2471,3036,3344,3703
Cleveland-OH,2303,2612,3025,3437,3798
Rochester-MN,2709,2860,3010,3463,3865
Bellevue-WA,1767,2216,3002,3939,4483
Philadelphia-PA,2141,2644,2996,3550,4106
Houston-TX,1978,2539,2988,3718,4279
Syracuse-NY,2200,2708,2962,3266,3418
Phoenix-AZ,2060,2539,2960,3538,4117
Plano-TX,1997,2333,2951,3287,3736
Nashville-TN,2159,2440,2945,3338,3618
Chicago-IL,2044,2521,2945,3528,4111
New-York-NY,1479,2246,2943,3830,4312
Baltimore-MD,2249,2595,2942,3437,4147
Raleigh-NC,2274,2582,2941,3506,3865
Rochester-NY,2255,2559,2914,3270,3574
Oklahoma-City-OK,2124,2486,2900,3211,3987
Sacramento-CA,2118,2650,2892,3327,3859
Albuquerque-NM,2153,2413,2881,3610,4651
Auburn-Hills-MI,2036,2194,2878,3246,3509
Cincinnati-OH,2309,2618,2875,3132,3440
Indianapolis-IN,2247,2560,2872,3340,3964
Tampa-FL,1641,2131,2861,3254,4040
Orlando-FL,2072,2521,2858,3363,3868
Milwaukee-WI,2148,2500,2852,3154,3556
Columbus-OH,2077,2486,2843,3303,3711
Olathe-KS,2421,2630,2840,2996,3258
Omaha-NE,2045,2347,2801,3104,3457
Poughkeepsie-NY,2344,2547,2801,3258,3511
Norwalk-CT,1820,2593,2799,3006,3263
Lehi-UT,1862,2330,2798,3213,3785
Chattanooga-TN,,2339,2788,3237,
Fort-Lauderdale-FL,1711,1991,2777,3451,4124
Salt-Lake-City-UT,1823,2343,2759,3226,3590
Provo-UT,2038,2402,2714,3493,4013
Atlanta-GA,1890,2299,2708,3270,3832
Grand-Rapids-MI,1686,1967,2686,3096,3404
Reno-NV,2179,2404,2684,5137,5137
Minneapolis-MN,2016,2317,2669,3121,3624
Cambridge-MA,1668,2135,2653,3068,3571
Oakland-CA,959,1927,2652,3627,4159
Madison-WI,1520,1880,2634,2986,3639
Richardson-TX,2113,2281,2618,3011,3628
New-Orleans-LA,322,1907,2605,3131,3288
St.-Paul-MN,1782,2447,2600,3060,3367
Hartford-CT,2032,2239,2599,2857,3682
Colorado-Springs-CO,1955,2269,2582,2948,3262
Germantown-MD,1968,2364,2562,2711,3107
Fort-Collins-CO,1086,2121,2539,2748,3061
Bloomington-MN,,2131,2533,2885,
Manassas-VA,1890,2146,2506,2762,2916
Sioux-Falls-SD,1970,2219,2500,2837,3510
Aurora-CO,2183,2340,2497,2967,3229
Cary-NC,1087,1436,2463,3028,3387
Fort-Wayne-IN,1693,2229,2438,2909,3170
Portland-OR,1512,1804,2436,2978,3483
Buffalo-NY,1624,1860,2409,3221,3779
State-College-PA,1613,2129,2388,2595,3008
Springfield-MO,1613,2095,2385,2692,3254
King-of-Prussia-PA,1411,2108,2375,2590,2965
Santa-Rosa-CA,,1828,2360,3620,
Denver-CO,1647,1960,2326,2849,3633
Boston-MA,1389,1856,2322,2841,3152
San-Jose-CA,1061,1738,2318,3293,3825
Lincoln-NE,1597,1890,2294,2798,3353
Cupertino-CA,728,1794,2283,2815,3347
Troy-MI,1219,2061,2271,2587,3270
Scottsdale-AZ,1740,1951,2266,2582,2792
Sunnyvale-CA,793,1664,2246,2735,3267
Eagan-MN,1989,2090,2240,2391,2642
Overland-Park-KS,1509,1822,2188,2345,2502
Lenexa-KS,1814,1918,2180,2441,2807
Santa-Clara-CA,1018,1841,2179,2665,3686
Albany-NY,1567,1872,2176,3039,3242
Sterling-VA,1449,1603,2168,2579,3092
Ann-Arbor-MI,1689,1899,2162,2583,3056
San-Diego-CA,1330,1669,2153,2733,3120
Miami-FL,739,1591,2152,2826,3555
Longmont-CO,1931,2036,2140,2559,2924
Charleston-SC,1411,1863,2115,2467,2869
Burlington-MA,1337,1648,2115,2426,2790
Columbia-MD,1428,1824,2072,2517,3123
Mountain-View-CA,1048,1580,2066,2555,3619
Los-Angeles-CA,595,1421,2050,2775,3750
Eden-Prairie-MN,1432,1733,2035,2387,3040
Washington-DC,1116,1470,2010,2598,2990
Boca-Raton-FL,1109,1558,2007,2569,2737
Boulder-CO,1110,1580,1998,2626,3201
San-Francisco-CA,448,1222,1950,2439,2971
Herndon-VA,1316,1624,1932,2394,2651
Rockville-MD,1098,1642,1890,2286,2634
Fairfax-VA,1190,1549,1857,2114,2371
Pleasanton-CA,1075,1268,1800,2187,2673
Alpharetta-GA,1133,1542,1797,2206,2462
Redwood-City-CA,376,860,1781,2270,2802
Arlington-VA,958,1369,1779,2241,3354
San-Mateo-CA,637,1072,1749,2235,3256
Malvern-PA,967,1441,1705,2127,2918
Broomfield-CO,1150,1254,1620,1829,2561
Vienna-VA,1108,1313,1467,1672,1929
Irvine-CA,454,890,1373,2002,2875
Carlsbad-CA,887,1129,1323,1758,2387
McLean-VA,-95,418,983,1547,2009
El-Segundo-CA,90,235,477,1154,1396
Menlo-Park-CA,-208,-63,423,912,1976
Santa-Barbara-CA,-366,69,263,1085,2103
Santa-Monica-CA,-1290,-661,161,597,1179
California-City-CA,-1070,-567,158,1319,2439
Palo-Alto-CA,-1270,-496,-10,1011,1543
