San-Jose-CA,5571,6153,7174,7706,9302
Mountain-View-CA,6153,6642,7706,8770,9302
Atlanta-GA,4186,4748,5566,6719,6719
Redmond-WA,5125,6736,7868,9044,9044
Minneapolis-MN,4446,4797,5699,6682,7763
St.-Louis-MO,4295,4797,5350,6185,6682
Omaha-NE,4621,5074,5427,6218,6218
Philadelphia-PA,4301,4603,5206,6125,7173
Bellevue-WA,5518,6023,7280,7868,9044
Tampa-FL,3946,5013,6023,6736,7280
Palo-Alto-CA,5522,6642,7706,9834,10366
Dayton-OH,3710,4942,5555,5759,7833
Los-Angeles-CA,4071,5329,6153,7174,8238
Washington-DC,5179,5620,6653,7190,7727
Indianapolis-IN,3757,4485,4901,5786,6290
Baltimore-MD,4331,5027,6090,6585,8198
Sunnyvale-CA,6153,6153,7174,7706,8238
Columbia-MD,4925,5488,6090,8198,8735
Charlotte-NC,4158,4620,5646,6246,7850
Madison-WI,0,4190,4844,5547,0
Boston-MA,4592,5578,5785,6790,7892
San-Diego-CA,4603,5280,6153,6642,8238
Orlando-FL,4395,5237,5630,6191,7280
Colorado-Springs-CO,3767,4917,5544,6312,7917
Irvine-CA,4893,5425,6153,6642,7174
Seattle-WA,5350,6079,7280,7868,8456
Melbourne-FL,4339,5069,6079,6736,7280
Huntsville-AL,4060,4590,5226,6376,7448
Austin-TX,5069,5574,6135,7280,8456
Phoenix-AZ,4127,5442,5915,6933,7486
Boulder-CO,4551,5126,5492,6312,7367
Boise-ID,0,4162,4312,4512,0
Grand-Rapids-MI,4033,4239,5060,5522,6727
Pittsburgh-PA,4217,4639,5272,5799,6363
Santa-Clara-CA,4845,6153,7174,8770,8770
Tucson-AZ,4022,4916,5704,6933,6933
Salt-Lake-City-UT,4281,4748,5320,6291,6793
Fort-Wayne-IN,4502,4658,5494,5808,6314
Rochester-NY,4355,5117,5724,6214,6714
Raleigh-NC,4671,5082,5749,6743,7850
Chicago-IL,4349,5250,5833,6912,8026
Houston-TX,4732,5125,5742,6736,9044
San-Francisco-CA,5377,6642,7706,8770,9834
Denver-CO,4290,5178,6312,6817,7917
Sacramento-CA,4990,5280,6153,6642,7174
Solon-OH,0,4341,4444,4496,0
Portland-OR,4653,5459,6055,6545,7611
Dallas-TX,5013,5574,6079,6736,7280
New-York-NY,4216,5107,5994,7002,8581
